Anno,Macroarea,Settore di lavoro,Totale,Maschi,Femmine,% Maschi,% Femmine
2012,Sud,ATTIVITÀ IMMOBILIARI,44741.44,28576.46,16164.98,63.87,36.13
2013,Sud,ATTIVITÀ IMMOBILIARI,46057.67999999999,29551.559999999998,16506.12,64.16,35.84
2015,Sud,ATTIVITÀ IMMOBILIARI,49204.54,30579.74,18624.8,62.15,37.85
2016,Sud,ATTIVITÀ IMMOBILIARI,52582.22,32388.739999999998,20193.48,61.6,38.4
2017,Sud,ATTIVITÀ IMMOBILIARI,53865.520000000004,33220.72,20644.8,61.67,38.33
2012,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,92613.23999999999,55343.56,37269.68,59.76,40.24
2013,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,91791.18,54954.51,36836.67,59.87,40.13
2015,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,93952.28,55618.54,38333.74,59.2,40.8
2016,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,97381.98,57062.32,40319.659999999996,58.6,41.4
2017,Sud,ATTIVITÀ LEGALI E CONTABILITÀ,98281.73,57324.38,40957.35,58.33,41.67
2012,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4570.75,4157.55,413.2,90.96,9.04
2013,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4282.6,3818.92,463.67999999999995,89.17,10.83
2015,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4171.52,3795.5600000000004,375.96000000000004,90.99,9.01
2016,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3728.94,3403.75,325.19,91.28,8.72
2017,Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3551.34,3248.9700000000003,302.37,91.49,8.51
2012,Sud,ISTRUZIONE,42352.26,12329.76,30022.5,29.11,70.89
2013,Sud,ISTRUZIONE,41907.2,12545.939999999999,29361.260000000002,29.94,70.06
2015,Sud,ISTRUZIONE,41619.380000000005,13090.48,28528.9,31.45,68.55
2016,Sud,ISTRUZIONE,43201.18,13985.600000000002,29215.579999999998,32.37,67.63
2017,Sud,ISTRUZIONE,45928.12000000001,15202.740000000002,30725.380000000005,33.1,66.9
2012,Sud,RICERCA SCIENTIFICA E SVILUPPO,3877.7799999999997,2449.69,1428.09,63.17,36.83
2013,Sud,RICERCA SCIENTIFICA E SVILUPPO,3445.0999999999995,2101.9999999999995,1343.1,61.01,38.99
2015,Sud,RICERCA SCIENTIFICA E SVILUPPO,3620.79,2179.46,1441.33,60.19,39.81
2016,Sud,RICERCA SCIENTIFICA E SVILUPPO,3450.4900000000002,1998.5800000000002,1451.91,57.92,42.08
2017,Sud,RICERCA SCIENTIFICA E SVILUPPO,3433.0299999999997,1990.54,1442.49,57.98,42.02
2012,Sud,SANITÀ E ASSISTENZA SOCIALE,134143.03999999998,53989.009999999995,80154.03,40.25,59.75
2013,Sud,SANITÀ E ASSISTENZA SOCIALE,137955.78,55077.21,82878.57,39.92,60.08
2015,Sud,SANITÀ E ASSISTENZA SOCIALE,147719.55,58417.67999999999,89301.87000000001,39.55,60.45
2016,Sud,SANITÀ E ASSISTENZA SOCIALE,155061.34,60458.479999999996,94602.86,38.99,61.01
2017,Sud,SANITÀ E ASSISTENZA SOCIALE,162626.97999999998,63262.369999999995,99364.61,38.9,61.1
